,2000_idh,2000_hiv,aid_2000,2006_idh,2006_hiv,aid_2006
Algeria,0.624,0.06,0.3832944949912,0.673,0.1,0.212932854199984
Angola,0.384,1.9,12.2111411453187,0.459,1.9,0.434816767044839
Argentina,0.749,0.4,0.018973022776257,0.773,0.4,0.055092736914479
Armenia,0.643,0.1,10.9897680371265,0.703,0.1,3.26548992310219
Bangladesh,0.422,0.06,2.40056128765321,0.47,0.06,1.85161196869792
Belize,0.668,2.2,1.89164032834933,0.69,2.4,0.793341133914156
Benin,0.378,1.4,10.8556100687176,0.411,1.2,8.63695038520801
Bolivia,0.612,0.2,5.89440350250017,0.65,0.2,7.68920213992681
Botswana,0.585,26.0,0.579877301946801,0.611,25.3,0.656410810507014
Brazil,0.665,0.4,0.036907664010505,0.695,0.4,0.010680851045416
Burundi,0.245,5.2,10.9887139213507,0.281,3.8,34.5774207992684
Cambodia,0.438,1.3,11.1978237062315,0.501,0.7,7.595932288571
Cameroon,0.427,5.5,4.33325919037728,0.451,5.4,9.71090278987107
Central African Republic,0.306,9.4,8.35203665051924,0.316,6.1,9.14441205080022
Chad,0.286,3.0,9.60014468201338,0.311,3.5,5.91738792873717
Chile,0.749,0.2,0.063936467233256,0.78,0.4,0.074551915430286
Colombia,0.652,0.9,0.190517691511272,0.683,0.6,0.640939662230058
"Congo, Rep.",0.478,3.9,1.40821472131737,0.51,3.6,5.05934778205928
Costa Rica,0.703,0.1,0.065456754832016,0.729,0.3,0.145440360306228
Cote d'Ivoire,0.374,6.9,3.60851714679878,0.385,4.4,1.48974980357879
Croatia,0.748,0.06,0.31030823275727,0.785,0.06,0.421017181791283
Cuba,0.681,0.06,0.146910995114099,0.745,0.1,0.179780066302413
Dominican Republic,0.64,1.0,0.243951455886189,0.666,0.9,0.157771975447319
Ecuador,0.668,0.5,1.00575584504006,0.698,0.4,0.470878323335883
Egypt,0.585,0.06,1.36008272517053,0.618,0.06,0.832858593718367
El Salvador,0.619,0.7,1.394762314649,0.658,0.8,0.899454541439392
Equatorial Guinea,0.488,1.5,2.43738302287046,0.519,4.0,0.501802377598178
Fiji,0.668,0.06,1.69561494213256,0.678,0.1,1.8660800524431
Gabon,0.621,5.2,0.271849806185022,0.648,5.4,0.354849424148809
Gambia,0.36,0.5,6.59510365862277,0.392,1.3,11.8954932911266
Ghana,0.451,2.3,12.369385590862,0.494,1.9,6.12948989264964
Guatemala,0.525,0.5,1.38017734285467,0.555,0.7,1.63884273282372
Guyana,0.579,1.5,17.5367219558279,0.613,1.1,12.3235249812835
Honduras,0.569,1.3,6.44961775774263,0.604,0.9,5.74960815369929
India,0.461,0.4,0.292270440234921,0.512,0.37,0.14698884059311
Indonesia,0.543,0.06,1.09967281385544,0.579,0.1,0.377701182975063
Iran,0.636,0.1,0.128159143726741,0.684,0.2,0.052819032901574
Jamaica,0.68,1.9,0.098820215675117,0.71,1.7,0.331588137000588
